STATIONS_ID;MESS_DATUM;QN;PP_10;TT_10;TM5_10;RF_10;TD_10
          3;199304281230;    1;  987.3;  24.9;  28.4;  23.0;   2.4
          3;199304281240;    1;  987.2;  24.9;  28.6;  21.0;   1.2
          3;199304281250;    1;  987.2;  25.5;  28.7;  20.0;   0.7
          3;199304281300;    1;  987.0;  25.8;  28.8;  20.0;   1.0
          3;199304281310;    1;  986.9;  25.8;  29.6;  20.0;   0.9
          3;199304281320;    1;  986.7;  25.7;  29.7;  19.0;   0.2
          3;199304281330;    1;  986.8;  26.0;  29.8;  20.0;   1.5
          3;199304281340;    1;  986.8;  26.1;  29.7;  18.0;   0.2
          3;199304281350;    1;  986.7;  27.0;  29.7;  19.0;   1.4
          3;199304281400;    1;  986.6;  26.5;  29.2;  17.0;  -0.4
          3;199304281410;    1;  986.5;  26.8;  30.1;  19.0;   1.6
          3;199304281420;    1;  986.4;  26.4;  28.9;  18.0;   0.4
          3;199304281430;    1;  986.4;  26.6;  29.5;  18.0;   0.5
          3;199304281440;    1;  986.3;  26.5;  29.0;  18.0;   0.6
          3;199304281450;    1;  986.2;  26.4;  28.6;  18.0;  -0.2
          3;199304281500;    121;  1986.2;  126.7;  129.3;  120.0;   11.6
          3;199304281510;    1;  986.1;  26.4;  29.0;  21.0;   2.0
          3;199304281520;    1;  986.0;  26.3;  28.9;  19.0;   0.9
          3;199304281530;    1;  985.9;  26.6;  29.0;  20.0;   2.0
          3;199304281540;    1;  985.8;  26.4;  28.9;  20.0;   1.5
          3;199304281550;    1;  985.8;  26.6;  28.7;  20.0;   1.8
          3;199304281600;    1;  985.8;  26.4;  28.2;  20.0;   1.9
          3;199304281610;    1;  985.7;  26.3;  27.9;  20.0;   1.3
          3;199304281620;    1;  985.6;  26.1;  27.4;  20.0;   1.4
          3;199304281630;    1;  985.6;  26.1;  27.5;  20.0;   1.4
          3;199304281640;    1;  985.6;  26.1;  27.2;  22.0;   3.0
          3;199304281650;    1;  985.6;  26.0;  26.7;  16.0;  -1.4
          3;199304281700;    1;  985.5;  25.8;  26.7;  18.0;  -0.6
          3;199304281710;    1;  985.5;  25.8;  26.5;  17.0;  -1.3
          3;199304281720;    1;  985.6;  25.5;  26.3;  19.0;   0.1
          3;199304281730;    1;  985.7;  25.3;  25.7;  18.0;  -0.5
          3;199304281740;    1;  985.6;  25.4;  25.4;  18.0;  -0.6
